lemma,pos,frequency_rank,cefr_level,notes
индийский,adj,732,A1,
перчатка,n,733,A1,
колбаса,n,734,A1,
семьдесят,num,735,A1,
непростой,adj,736,a1,
полотенце,n,737,A1,
араб,n,738,A1,
анкета,n,739,A1,
выезд,n,740,a1,
конфета,n,741,A1,
день рождения,n,742,a1,
жарко,adv,743,A1,
джинсы,n,744,a1,
салат,n,745,A1,
электричество,n,746,A1,
пирог,n,747,A1,
певец,n,748,a1,
тетрадь,n,749,A1,
олимпиада,n,750,a1,
вдова,n,751,A1,
европеец,n,752,A1,
восемьдесят,num,753,A1,
аптека,n,754,A1,
девяносто,num,755,A1,
пятьсот,num,756,A1,
капуста,n,757,A1,
обедать,v,758,A1,
трусы,n,759,a1,
спичка,n,760,A1,
предлог,n,761,A1,
воровать,v,762,a1,
мотоцикл,n,763,a1,
ноль,num,764,A1,
пульт,n,765,A1,
чайный,adj,766,A1,
мороженое,n,767,A1,
вежливый,adj,768,a1,
огурец,n,769,A1,
настоящее,n,770,A1,
глагол,n,771,A1,
открытка,n,772,A1,
орех,n,773,A1,
балет,n,774,A1,
подписывать,v,775,A1,
русский язык,mwe,776,A1,
стоп,excl,777,A1,
шестнадцать,num,778,A1,
вилка,n,779,A1,
раковина,n,780,A1,
шоколад,n,781,A1,
африканский,adj,782,A1,
восемнадцать,num,783,A1,
бутерброд,n,784,A1,
четырнадцать,num,785,A1,
студентка,n,786,A1,
мобильник,n,787,a1,
зубной,adj,788,A1,
тост,n,789,A1,
соленый,adj,790,A1,
внучка,n,791,A1,
голландский,adj,792,A1,
растительный,adj,793,A1,
картофель,n,794,A1,
семнадцать,num,795,A1,
азиатский,adj,796,A1,
украинец,n,797,A1,
супермаркет,n,798,A1,
слог,n,799,A1,
финн,n,800,A1,
торт,n,801,A1,
въезд,n,802,a1,
тринадцать,num,803,A1,
троллейбус,n,804,A1,
певица,n,805,a1,
помидор,n,806,A1,
свитер,n,807,A1,
замужем,adv,808,a1,
низ,n,809,A1,
фиолетовый,adj,810,A1,
светло,adv,811,A1,
перец,n,812,A1,
некрасивый,adj,813,A1,
пешеход,n,814,a1,
банан,n,815,A1,
продавщица,n,816,a1,
алфавит,n,817,A1,
испанец,n,818,A1,
ужинать,v,819,A1,
запрещаться,v,820,A1,
нехорошо,adv,821,A1,
запоминать,v,822,A1,
раздеваться,v,823,A1,
пирожок,n,824,A1,
виноград,n,825,A1,
лимон,n,826,A1,
наизусть,adv,827,A1,
груша,n,828,A1,
рис,n,829,A1,
виски,n,830,A1,
адресат,n,831,A1,
здороваться,v,832,A1,
апельсин,n,833,A1,
аллергия,n,834,a1,
светофор,n,835,A1,
теннис,n,836,A1,
завтракать,v,837,A1,
консульство,n,838,a1,
выключать,v,839,a1,
консул,n,840,a1,
четыреста,num,841,A1,
прокладка,n,842,a1,
гражданка,n,843,a1,
сливки,n,844,A1,
запятая,n,845,A1,
ударение,n,846,A1,
им,pron,847,a1,
девятнадцать,num,848,A1,
сосиска,n,849,A1,
хоккей,n,850,A1,
макароны,n,851,a1,
морковь,n,852,a1,
пирожное,n,853,A1,
азбука,n,854,A1,
кассир,n,855,A1,
эскалатор,n,856,a1,
чеснок,n,857,A1,
йогурт,n,858,A1,
пицца,n,859,A1,
пешеходный,adj,860,a1,
выключатель,n,861,a1,
гель,n,862,a1,
шестьсот,num,863,A1,
сметана,n,864,A1,
баскетбол,n,865,a1,
отправитель,n,866,a1,
умываться,v,867,A1,
шампунь,n,868,A1,
девятьсот,num,869,A1,
пижама,n,870,A1,
лифчик,n,871,a1,
бриться,v,872,A1,
падеж,n,873,A1,
свинина,n,874,A1,
гласный,adj,875,A1,
немка,n,876,A1,
вопросительный,adj,877,A1,
местоимение,n,878,a1,
кило,n,879,A1,
семьсот,num,880,A1,
волейбол,n,881,a1,
восемьсот,num,882,A1,
транскрипция,n,883,A1,
ту,pron,884,A1,
восклицательный,adj,885,A1,
банкомат,n,886,A1,
та,pron,887,A1,
полька,n,888,A1,
иностранка,n,889,A1,
вдовец,n,890,a1,
км,n,891,a1,
эта,pron,892,A1,
полкило,n,893,A1,
кг,abbr,894,A1,
тебе,pron,895,A1,
ей,pron,896,a1,
именительный,adj,897,a1,
выучивать,v,898,A1,
нас,pron,899,A1,
те,pron,900,A1,
разведенный,adj,901,a1,
мне,pron,902,A1,
кока-кола,n,903,A1,
не замужем,ADV,904,a1,
закрыто,adj,905,A1,
пепси-кола,n,906,A1,
люди,n,907,A1,
дети,n,908,A1,
беларусь,n prop,909,A1,
вид спорта,mwe,910,A1,
водительские права,mwe,911,A1,
время года,mwe,912,A1,
выходной день,mwe,913,A1,
головная боль,mwe,914,a1,
день недели,mwe,915,A1,
до свидания,excl,916,A1,
добро пожаловать,excl,917,A1,
домашнее задание,mwe,918,A1,
зубная паста,mwe,919,A1,
зубная щетка,mwe,920,A1,
идет дождь,mwe,921,A1,
идет снег,mwe,922,A1,
извините,v,923,A1,
как дела,mwe,924,A1,
книжный магазин,mwe,925,A1,
кредитная карта,mwe,926,a1,
маршрутное такси,mwe,927,A1,
место рождения,mwe,928,A1,
мобильный телефон,mwe,929,A1,
новый год,n prop,930,A1,
переводить,v,931,A1,
подземный переход,mwe,932,a1,
почтовый индекс,mwe,933,A1,
прошедшее время,mwe,934,a1,
скорая помощь,mwe,935,A1,
сотовый телефон,mwe,936,A1,
туфли,n,937,a1,
эти,pron,938,A1,
с,adpos,939,A2,
по,adpos,940,A2,
но,con,941,A2,
который,pron,942,A2,
свой,pron,943,A2,
весь,pron,944,A2,
за,adpos,945,a2,
о,adpos,946,a2,
если,con,947,A2,
бы,v mod,948,A2,
еще,particle,949,A2,
уже,adv,950,A2,
до,adpos,951,a2,
чтобы,con,952,A2,
самый,pron,953,A2,
при,adpos,954,A2,
первый,num,955,A2,
ни,con,956,A2,
сам,pron,957,A2,
дело,n,958,a2,
после,adv,959,A2,
под,adpos,960,A2,
каждый,pron,961,A2,
чем,con,962,A2,
потом,adv,963,A2,
через,adpos,964,A2,
мир,n,965,A2,
теперь,adv,966,A2,
несколько,adv,967,A2,
случай,n,968,A2,
сторона,n,969,A2,
тоже,particle,970,A2,
тогда,adv,971,A2,
об,adpos,972,A2,
сила,n,973,A2,
последний,adj,974,A2,
всегда,adv,975,A2,
вид,n,976,A2,
между,adpos,977,A2,
конечно,adv,978,a2,
второй,num,979,A2,
перед,adpos,980,A2,
поэтому,con,981,A2,
любой,pron,982,A2,
никто,pron,983,A2,
считать,v,984,A2,
взять,v,985,a2,
над,adpos,986,A2,
земля,n,987,A2,
почти,adv,988,A2,
путь,n,989,A2,
находиться,v,990,A2,
увидеть,v,991,A2,
никогда,adv,992,A2,
бог,n,993,A2,
совсем,adv,994,A2,
полный,adj,995,A2,
сразу,adv,996,a2,
часто,adv,997,A2,
начало,n,998,A2,
главный,adj,999,A2,
вместе,adv,1000,A2,
правда,n,1001,A2,
помощь,n,1002,A2,
может быть,mwe,1003,A2,
разный,adj,1004,A2,
общий,adj,1005,A2,
смочь,v,1006,A2,
форма,n,1007,a2,
мысль,n,1008,A2,
дорога,n,1009,A2,
любовь,n,1010,A2,
становиться,v,1011,A2,
посмотреть,v,1012,A2,
государство,n,1013,A2,
оставаться,v,1014,A2,
назад,adv,1015,A2,
происходить,V,1016,A2,
вести,v,1017,A2,
тема,n,1018,A2,
